a,,1 -1 0 0 0 0,1
b,,1 0 -1 0 0 0,1
c,,0 1 0 0 0 0,1
d,,0 0 1 0 0 0,1
f,,1 0 0 -1 0 0,1
f2,,0 0 0 1 0 0,1
bs,,1 0 0 0 -1 0,1
cs,,0 0 0 0 1 0,1
,,0 1 0 0 0 0|2 -1 0 0 0 0,
,,0 0 1 0 0 0|1 0 -1 0 0 0,
,,0 0 0 1 0 0|2 0 0 -1 0 0,
,,0 0 0 0 1 0|1 0 0 0 -1 0,
,,0 0 0 0 0 1|1 0 0 0 0 -1,
,(assert (iff f (<= z 2))),,-1
,(assert (iff f2 (> z 0))),,-1
,(assert (iff a (<= x 2))),,-1
,(assert (iff b (<= y 1))),,-1
,(assert (iff c (> x 0))),,-1
,(assert (iff d (> y 0))),,-1
,(assert (iff bs (<= u 1))),,-1
,(assert (iff cs (> u 0))),,-1
aq,,1 -1 0 0 0 0,1
,(assert (iff aq (<= x 1))),,-1
ep,,1 0 0 -1 0 0,1
,(assert (iff ep (<= z 1))),,-1
,(assert (and (and (and (and f2 f) a) (and (and ep aq) b)) (and (and true (and (and bs cs) c)) d))),,-1
e,,,1
e1,,,1
f1,,,1
d2,,,1
f2,,,1
e2,,,1
bp,,,1
cp,,,1
dp,,,1
ap,,,1
bq,,,1
cq,,,1
dq,,,1
ar,,,1
br,,,1
cr,,,1
dr,,,1
er,,,1
ds,,,1
,(assert (or (or (or (or (or (or (or (or (or (or (or (or (or (or (or (or (or (or (or (or (or (or false false) false) false) ds) er) dr) cr) br) ar) dq) cq) bq) ap) dp) cp) bp) e2) f2) d2) f1) e) e1)),,-1
