a,,1 -1 0 0 0 0,1
b,,1 0 -1 0 0 0,1
c,,0 1 0 0 0 0,1
d,,0 0 1 0 0 0,1
f,,1 0 0 -1 0 0,1
f2,,0 0 0 1 0 0,1
,,0 1 0 0 0 0|1 -1 0 0 0 0,
,,0 0 1 0 0 0|1 0 -1 0 0 0,
,,0 0 0 1 0 0|1 0 0 -1 0 0,
,,0 0 0 0 1 0|1 0 0 0 -1 0,
,,0 0 0 0 0 1|1 0 0 0 0 -1,
,(assert (iff f (<= z 1))),,-1
,(assert (iff f2 (> z 0))),,-1
,(assert (iff a (<= x 1))),,-1
,(assert (iff b (<= y 1))),,-1
,(assert (iff c (> x 0))),,-1
,(assert (iff d (> y 0))),,-1
e,,,1
e1,,,1
,(assert (iff e (> (* -3 z) 0))),,-1
,(assert (iff e1 (< (* 5 x) 2))),,-1
f1,,,1
d2,,,1
f2,,,1
e2,,,1
aq,,,1
bp,,,1
cp,,,1
dp,,,1
ap,,,1
,(assert (iff aq (> x 1))),,-1
bq,,,1
cq,,,1
dq,,,1
ar,,,1
br,,,1
cr,,,1
dr,,,1
er,,,1
,(assert (iff er (> y 1))),,-1
ep,,,1
,(assert (iff ep (> z 1))),,-1
bs,,1 0 0 0 -1 0,1
,(assert (iff bs (<= u 1))),,-1
cs,,0 0 0 0 1 0,1
,(assert (iff cs (> u 0))),,-1
ds,,,1
es,,,1
c3,,,1
,(assert (iff c3 (> z 1))),,-1
a1,,,1
,(assert (or a1 (or f (or f2 (or cp dp))))),,-1
b1,,,1
,(assert (or b1 (or e (or f ep)))),,-1
c1,,,1
,(assert (and (and a b) (and c d))),,-1
d1,,,1
,(assert (or d1 (or e1 f1))),,-1
a2,,,1
,(assert (iff a2 (> (+ y (* 3 x)) 5))),,-1
b2,,,1
,(assert (or b2 (or e2 (or d2 f2)))),,-1
,(assert (and (or a1 b1) c1)),,-1
,(assert (or e f)),,-1
,(assert (or (or a1 b1) (or c1 d1))),,-1
c2,,,1
,(assert (or (or a2 b2) (or c2 (or d2 c3)))),,-1
,(assert (or (or aq bq) cq)),,-1
,(assert (and (and a b) (and (and (and cs bs) c) d))),,-1
d1,,,1
,(assert (or d1 (or e1 f1))),,-1
,(assert (and (or (or a1 ar) (or b1 br)) c1)),,-1
,(assert (or (or cr e) (or dr f))),,-1
,(assert (or (or a1 b1) (or c1 d1))),,-1
,(assert (or  (or c2 (or d2 c3)))),,-1
,(assert (or (or (or (or (and es cs) bs) aq) bq) es)),,-1
,(assert (or (not a2) b2)),,-1
,(assert (or es (or (not ds) c3))),,-1
,(assert (or cq (and dq c3))),,-1
,(assert (or (or (or dq c3) er) a1)),,-1
