a,,1 -1 0 0 0 0,1
b,,1 -1 0 0 0 0,1
c,,0 1 0 0 0 0,1
d,,0 0 1 0 0 0,1
,,0 1 0 0 0 0|1 -1 0 0 0 0,
,,0 0 1 0 0 0|1 0 -1 0 0 0,
,,0 0 0 1 0 0|1 0 0 -1 0 0,
,,0 0 0 0 1 0|1 0 0 0 -1 0,
,,0 0 0 0 0 1|1 0 0 0 0 -1,
e,,,1
f,,,1
a1,,,1
b1,,,1
c1,,,1
d1,,,1
e1,,,1
f1,,,1
c2,,,1
d2,,,1
e2,,,1
f2,,,1
a3,,,1
b3,,,1
d3,,,1
e3,,,1
,(assert (iff b (<= y 1))),,-1
,(assert (iff a (<= x 1))),,-1
,(assert (iff c (> x 0))),,-1
,(assert (iff d (> y 0))),,-1
,(assert (iff a3 (> (+ y (* 3 x)) 5))),,-1
,(assert (and (and a b) (and c d))),,-1
,(assert (or a1 (or f f2))),,-1
,(assert (or b1 (or e f))),,-1
,(assert (or d1 (or e1 f1))),,-1
,(assert (or e3 a1)),,-1
,(assert (or c2 (or e2 (or d2 f2)))),,-1
,(assert (or c2 (or a3 b3))),,-1
,(assert (or d2 (or d3 e3))),,-1
,(assert (or (or a1 b1) c1)),,-1
,(assert (or e f)),,-1
,(assert (or (or a1 b1) (or c1 d1))),,-1
,(assert (or (or a3 b3) (or c2 d2))),,-1
