a,,1 -1 0 0 0 0,1
b,,1 0 -1 0 0 0,1
c,,0 1 0 0 0 0,1
d,,0 0 1 0 0 0,1
f,,1 0 0 -1 0 0,1
f2,,0 0 0 1 0 0,1
,,0 1 0 0 0 0|1 -1 0 0 0 0,
,,0 0 1 0 0 0|1 0 -1 0 0 0,
,,0 0 0 1 0 0|1 0 0 -1 0 0,
,,0 0 0 0 1 0|1 0 0 0 -1 0,
,,0 0 0 0 0 1|1 0 0 0 0 -1,
,(assert (iff f (<= z 1))),,-1
,(assert (iff f2 (> z 0))),,-1
,(assert (iff a (<= x 1))),,-1
,(assert (iff b (<= y 1))),,-1
,(assert (iff c (> x 0))),,-1
,(assert (iff d (> y 0))),,-1
e,,,1
e1,,,1
,(assert (iff e (> (* -3 z) 0))),,-1
,(assert (iff e1 (< (* 5 x) 2))),,-1
f1,,,1
d2,,,1
f2,,,1
e2,,,1
aq,,,1
bp,,,1
cp,,,1
dp,,,1
ap,,,1
,(assert (iff aq (> x 1))),,-1
bq,,,1
cq,,,1
dq,,,1
ar,,,1
br,,,1
cr,,,1
dr,,,1
er,,,1
,(assert (iff er (> y 1))),,-1
ep,,,1
,(assert (iff ep (> z 1))),,-1
bs,,1 0 0 0 -1 0,1
,(assert (iff bs (<= u 1))),,-1
cs,,0 0 0 0 1 0,1
,(assert (iff cs (> u 0))),,-1
ds,,,1
es,,,1
c3,,,1
,(assert (iff c3 (> z 1))),,-1
a1,,,1
,(assert (or a1 (or f (or f2 (or cp dp))))),,-1
b1,,,1
,(assert (or b1 (or e (or f ep)))),,-1
na1,,,1
na2,,1 0 0 0 0 -1,1
,(assert (iff na2 (<= v 1))),,-1
nb1,,0 0 0 0 0 1,1
,(assert (iff nb1 (> v 0))),,-1
nb2,,,1 
nc1,,,1
,(assert (iff nc1 (> v 2))),,-1
nc2,,,1 
,(assert (or nc2 (or (not nb2) (not nc1)))),,-1
nd1,,,1 
nd2,,,1 
ne1,,,1 
ne2,,,1 
nf1,,,1 
nf2,,,1 
,(assert (iff nf2 (< x 3))),,-1
nf3,,,1 
nf4,,,1 
nf5,,,1 
nf6,,,1 
nf7,,,1 
nf8,,,1 
nf9,,,1
c1,,,1
,(assert (and (and a b) (and c d))),,-1
d1,,,1
,(assert (or d1 (or e1 f1))),,-1
a2,,,1
,(assert (iff a2 (> (+ y (* 3 x)) 5))),,-1
b2,,,1
,(assert (or b2 (or e2 (or d2 f2)))),,-1
,(assert (and (or a1 b1) c1)),,-1
,(assert (or e f)),,-1
,(assert (or (or a1 b1) (or c1 d1))),,-1
c2,,,1
,(assert (or (or a2 b2) (or c2 (or d2 c3)))),,-1
,(assert (or (or (or (or ne1 nd1) na1) (or (or (not ne2) nd2) ne2)) nf8)),,-1
,(assert (or ne2 (or (or (or (or nf4 (or nf5 (or (or (or (or nf9 nf8) nf7) nf6) nf3) na1)) nf2) nf1) na2))),,-1
,(assert (or nb1 (or nb2 nc1))),,-1
